	t	x	y
	3010	5.67855e+06	5318.05
	3011	5.78827e+06	5368.45
	3012	5.89634e+06	5420.48
	3013	6.00259e+06	5474.13
	3014	6.1069e+06	5529.41
	3015	6.20912e+06	5586.35
	3016	6.30913e+06	5644.93
	3017	6.40682e+06	5705.18
	3018	6.50209e+06	5767.08
	3019	6.59485e+06	5830.65
	3020	6.68503e+06	5895.88
	3021	6.77254e+06	5962.78
	3022	6.85734e+06	6031.33
	3023	6.93938e+06	6101.54
	3024	7.01862e+06	6173.41
	3025	7.09505e+06	6246.92
	3026	7.16863e+06	6322.07
	3027	7.23937e+06	6398.84
	3028	7.30726e+06	6477.24
	3029	7.37231e+06	6557.24
	3030	7.43454e+06	6638.84
	3031	7.49398e+06	6722.02
	3032	7.55064e+06	6806.77
	3033	7.60457e+06	6893.07
	3034	7.6558e+06	6980.91
	3035	7.70437e+06	7070.25
	3036	7.75034e+06	7161.1
	3037	7.79376e+06	7253.43
	3038	7.83467e+06	7347.21
	3039	7.87314e+06	7442.42
	3040	7.90922e+06	7539.05
	3041	7.94298e+06	7637.06
	3042	7.97446e+06	7736.44
	3043	8.00374e+06	7837.16
	3044	8.03088e+06	7939.18
	3045	8.05594e+06	8042.5
	3046	8.07897e+06	8147.07
	3047	8.10005e+06	8252.87
	3048	8.11923e+06	8359.86
	3049	8.13658e+06	8468.03
	3050	8.15215e+06	8577.33
	3051	8.16601e+06	8687.74
	3052	8.1782e+06	8799.23
	3053	8.18879e+06	8911.75
	3054	8.19784e+06	9025.28
	3055	8.20539e+06	9139.78
	3056	8.2115e+06	9255.22
	3057	8.21622e+06	9371.56
	3058	8.21959e+06	9488.76
	3059	8.22168e+06	9606.8
	3060	8.22251e+06	9725.62
	3061	8.22215e+06	9845.19
	3062	8.22063e+06	9965.47
	3063	8.21799e+06	10086.4
	3064	8.21427e+06	10208
	3065	8.20952e+06	10330.2
	3066	8.20376e+06	10452.9
	3067	8.19705e+06	10576.2
	3068	8.1894e+06	10699.9
	3069	8.18086e+06	10824
	3070	8.17146e+06	10948.5
	3071	8.16122e+06	11073.4
	3072	8.15019e+06	11198.5
	3073	8.13838e+06	11323.9
	3074	8.12583e+06	11449.6
	3075	8.11256e+06	11575.3
	3076	8.09859e+06	11701.2
	3077	8.08396e+06	11827.2
	3078	8.06868e+06	11953.2
	3079	8.05278e+06	12079.2
	3080	8.03628e+06	12205.1
	3081	8.01921e+06	12330.9
	3082	8.00157e+06	12456.6
	3083	7.98339e+06	12582.1
	3084	7.9647e+06	12707.3
	3085	7.9455e+06	12832.3
	3086	7.92582e+06	12956.9
	3087	7.90567e+06	13081.2
	3088	7.88507e+06	13205
	3089	7.86404e+06	13328.4
	3090	7.84259e+06	13451.3
	3091	7.82073e+06	13573.6
	3092	7.79848e+06	13695.4
	3093	7.77585e+06	13816.5
	3094	7.75286e+06	13937
	3095	7.72952e+06	14056.7
	3096	7.70585e+06	14175.7
	3097	7.68184e+06	14293.8
