	t	x	y
	523	8.79308e+06	9106.76
	524	8.77267e+06	9233.7
	525	8.75203e+06	9361.25
	526	8.73115e+06	9489.38
	527	8.71003e+06	9618.05
	528	8.68868e+06	9747.23
	529	8.66708e+06	9876.88
	530	8.64525e+06	10007
	531	8.62318e+06	10137.5
	532	8.60088e+06	10268.4
	533	8.57834e+06	10399.6
	534	8.55558e+06	10531.1
	535	8.53258e+06	10662.8
	536	8.50935e+06	10794.8
	537	8.48589e+06	10926.9
	538	8.46221e+06	11059.2
	539	8.4383e+06	11191.6
	540	8.41418e+06	11324
	541	8.38983e+06	11456.5
	542	8.36526e+06	11588.9
	543	8.34047e+06	11721.2
	544	8.31548e+06	11853.5
	545	8.29027e+06	11985.6
	546	8.26485e+06	12117.5
	547	8.23922e+06	12249.1
	548	8.2134e+06	12380.5
	549	8.18737e+06	12511.6
	550	8.16114e+06	12642.2
	551	8.13472e+06	12772.5
	552	8.10811e+06	12902.3
	553	8.0813e+06	13031.7
	554	8.05432e+06	13160.5
	555	8.02715e+06	13288.7
	556	7.9998e+06	13416.3
	557	7.97228e+06	13543.2
	558	7.94459e+06	13669.4
	559	7.91673e+06	13794.9
	560	7.8887e+06	13919.6
	561	7.86052e+06	14043.5
	562	7.83218e+06	14166.5
	563	7.80369e+06	14288.6
	564	7.77505e+06	14409.8
	565	7.74626e+06	14529.9
	566	7.71734e+06	14649.1
	567	7.68828e+06	14767.2
	568	7.65909e+06	14884.2
	569	7.62977e+06	15000.1
	570	7.60033e+06	15114.9
	571	7.57078e+06	15228.4
	572	7.54111e+06	15340.7
	573	7.51132e+06	15451.8
	574	7.48144e+06	15561.6
	575	7.45145e+06	15670
	576	7.42137e+06	15777.1
	577	7.3912e+06	15882.9
	578	7.36094e+06	15987.2
	579	7.3306e+06	16090.2
	580	7.30018e+06	16191.6
	581	7.26969e+06	16291.6
	582	7.23913e+06	16390.1
	583	7.2085e+06	16487.1
	584	7.17782e+06	16582.6
	585	7.14708e+06	16676.4
	586	7.1163e+06	16768.7
	587	7.08546e+06	16859.5
	588	7.05459e+06	16948.6
	589	7.02368e+06	17036
	590	6.99274e+06	17121.9
	591	6.96177e+06	17206.1
	592	6.93078e+06	17288.6
	593	6.89977e+06	17369.4
	594	6.86875e+06	17448.6
	595	6.83771e+06	17526.1
	596	6.80668e+06	17601.9
	597	6.77564e+06	17675.9
	598	6.7446e+06	17748.3
	599	6.71357e+06	17818.9
	600	6.68255e+06	17887.8
	601	6.65155e+06	17955
	602	6.62057e+06	18020.5
	603	6.58961e+06	18084.2
	604	6.55868e+06	18146.2
	605	6.52777e+06	18206.5
	606	6.49691e+06	18265.1
	607	6.46608e+06	18322
	608	6.4353e+06	18377.1
	609	6.40456e+06	18430.5
	610	6.37387e+06	18482.2
	611	6.34324e+06	18532.3
	612	6.31266e+06	18580.6
	613	6.28214e+06	18627.3
	614	6.25168e+06	18672.2
	615	6.2213e+06	18715.6
	616	6.19098e+06	18757.2
	617	6.16073e+06	18797.2
	618	6.13056e+06	18835.6
	619	6.10047e+06	18872.4
	620	6.07046e+06	18907.5
	621	6.04053e+06	18941.1
	622	6.01069e+06	18973.1
	623	5.98095e+06	19003.5
	624	5.95129e+06	19032.3
	625	5.92173e+06	19059.6
	626	5.89227e+06	19085.4
	627	5.8629e+06	19109.7
	628	5.83364e+06	19132.5
	629	5.80448e+06	19153.8
	630	5.77543e+06	19173.6
	631	5.74649e+06	19192
	632	5.71766e+06	19209
	633	5.68894e+06	19224.6
	634	5.66033e+06	19238.8
	635	5.63185e+06	19251.6
	636	5.60348e+06	19263.1
	637	5.57523e+06	19273.2
	638	5.5471e+06	19282.1
	639	5.51909e+06	19289.6
	640	5.49121e+06	19295.9
	641	5.46346e+06	19300.9
	642	5.43583e+06	19304.6
	643	5.40833e+06	19307.2
	644	5.38096e+06	19308.5
	645	5.35373e+06	19308.7
	646	5.32662e+06	19307.7
	647	5.29965e+06	19305.5
	648	5.27281e+06	19302.3
	649	5.24611e+06	19297.9
	650	5.21955e+06	19292.5
	651	5.19312e+06	19286
	652	5.16683e+06	19278.4
	653	5.14068e+06	19269.9
	654	5.11467e+06	19260.3
	655	5.0888e+06	19249.7
	656	5.06307e+06	19238.2
	657	5.03748e+06	19225.8
	658	5.01204e+06	19212.4
	659	4.98673e+06	19198.1
	660	4.96157e+06	19182.9
	661	4.93656e+06	19166.8
	662	4.91168e+06	19149.9
	663	4.88695e+06	19132.1
	664	4.86237e+06	19113.6
	665	4.83793e+06	19094.2
	666	4.81363e+06	19074.1
	667	4.78948e+06	19053.2
	668	4.76548e+06	19031.5
	669	4.74162e+06	19009.1
	670	4.71791e+06	18986.1
	671	4.69434e+06	18962.3
	672	4.67091e+06	18937.8
	673	4.64764e+06	18912.7
	674	4.6245e+06	18887
	675	4.60152e+06	18860.6
	676	4.57867e+06	18833.6
	677	4.55598e+06	18806
	678	4.53342e+06	18777.8
	679	4.51102e+06	18749.1
	680	4.48875e+06	18719.8
	681	4.46663e+06	18690
	682	4.44466e+06	18659.6
	683	4.42283e+06	18628.8
	684	4.40114e+06	18597.4
	685	4.37959e+06	18565.6
	686	4.35819e+06	18533.4
	687	4.33693e+06	18500.6
	688	4.31581e+06	18467.5
	689	4.29484e+06	18433.9
	690	4.274e+06	18399.9
	691	4.25331e+06	18365.5
	692	4.23275e+06	18330.7
	693	4.21234e+06	18295.6
	694	4.19207e+06	18260.1
	695	4.17193e+06	18224.2
	696	4.15193e+06	18188
	697	4.13208e+06	18151.5
	698	4.11235e+06	18114.7
	699	4.09277e+06	18077.6
	700	4.07332e+06	18040.2
	701	4.05401e+06	18002.5
	702	4.03484e+06	17964.5
	703	4.01579e+06	17926.3
	704	3.99689e+06	17887.8
	705	3.97811e+06	17849.1
	706	3.95948e+06	17810.1
	707	3.94097e+06	17771
	708	3.92259e+06	17731.6
	709	3.90435e+06	17692
	710	3.88624e+06	17652.3
	711	3.86826e+06	17612.3
	712	3.85041e+06	17572.2
	713	3.83268e+06	17531.9
	714	3.81509e+06	17491.4
	715	3.79763e+06	17450.8
	716	3.78029e+06	17410.1
	717	3.76308e+06	17369.2
	718	3.74599e+06	17328.2
	719	3.72904e+06	17287.1
	720	3.7122e+06	17245.9
	721	3.6955e+06	17204.5
	722	3.67891e+06	17163.1
	723	3.66245e+06	17121.6
	724	3.64611e+06	17080
	725	3.6299e+06	17038.3
	726	3.61381e+06	16996.5
	727	3.59783e+06	16954.7
	728	3.58198e+06	16912.8
	729	3.56625e+06	16870.9
	730	3.55064e+06	16828.9
	731	3.53515e+06	16786.9
	732	3.51978e+06	16744.9
	733	3.50453e+06	16702.8
	734	3.48939e+06	16660.7
	735	3.47437e+06	16618.6
	736	3.45947e+06	16576.4
	737	3.44468e+06	16534.3
	738	3.43001e+06	16492.2
	739	3.41546e+06	16450
	740	3.40102e+06	16407.9
	741	3.38669e+06	16365.7
	742	3.37248e+06	16323.6
	743	3.35839e+06	16281.5
	744	3.3444e+06	16239.5
	745	3.33053e+06	16197.4
	746	3.31677e+06	16155.4
	747	3.30313e+06	16113.4
	748	3.28959e+06	16071.5
	749	3.27617e+06	16029.6
	750	3.26286e+06	15987.8
	751	3.24966e+06	15946
	752	3.23657e+06	15904.2
	753	3.22359e+06	15862.6
	754	3.21072e+06	15821
	755	3.19796e+06	15779.4
	756	3.18531e+06	15737.9
	757	3.17278e+06	15696.5
	758	3.16035e+06	15655.2
	759	3.14802e+06	15613.9
	760	3.13581e+06	15572.7
	761	3.12371e+06	15531.6
	762	3.11172e+06	15490.6
	763	3.09983e+06	15449.7
	764	3.08806e+06	15408.9
	765	3.07639e+06	15368.1
	766	3.06483e+06	15327.5
	767	3.05338e+06	15287
	768	3.04204e+06	15246.5
	769	3.03081e+06	15206.2
	770	3.01969e+06	15166
	771	3.00868e+06	15125.9
	772	2.99778e+06	15085.9
	773	2.98698e+06	15046
	774	2.9763e+06	15006.2
	775	2.96573e+06	14966.5
	776	2.95527e+06	14927
	777	2.94491e+06	14887.6
	778	2.93467e+06	14848.3
	779	2.92454e+06	14809.2
	780	2.91453e+06	14770.1
	781	2.90462e+06	14731.2
	782	2.89483e+06	14692.5
	783	2.88516e+06	14653.8
	784	2.87559e+06	14615.3
	785	2.86614e+06	14577
